Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1726-PA-04DD;1726 Palermo Earthquake;Archivio di Stato di Palermo, Tribunale del Real Patrimonio, Memoriali, 2417;Senato of Trapani;Tribunal of Real Patrimonio;1726-09-05;Trapani;;Palermo;Proposal to send relief to the city hit by the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04DE;1726 Palermo Earthquake;Archivio storico Comunale di Palermo, Consulte del Senato, 1284/40, ff. 42-43;Senato of Palermo;Fernández de Portocarrero y Mendoza, Francisco;1726-09-05;Palermo;;Messina;Report about the measures implemented to face the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04DF;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Cadena e Natoli, Francisco;Fernández de Portocarrero y Mendoza, Francisco;1726-09-06;Palermo;1726-09-13;Messina;Requesting letter fot the replacement of the master of the chapel Pedro Puzzolo unabled to continue his functions due to injuries sustained in the earthquake;Spanish;;;;;;;;;;;
M-1726-PA-04E0;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Drago, Casimiro;Fernández de Portocarrero y Mendoza, Francisco;1726-09-06;Palermo;1726-09-13;Messina;Letter about the provisions on the place to hold the conferences of the Criminal and Civil Court after the damage caused to the building after the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04E1;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Senato of Palermo;Fernández de Portocarrero y Mendoza, Francisco;1726-09-06;Palermo;;Messina;Letter about the suspension of the theatrical comedies following the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04E2;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Senato of Palermo;Fernández de Portocarrero y Mendoza, Francisco;1726-09-06;Palermo;;Messina;Report about the measures adopted after the earthquake and petition for the return of the viceroy to the city of Palermo;Italian;;;;;;;;;;;
M-1726-PA-04E3;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Resuttano;Fernández de Portocarrero y Mendoza, Francisco;1726-09-06;Palermo;1726-09-13;Messina;Request letter fo the return to Palermo and communication of the state of calm of the city after the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04E4;1726 Palermo Earthquake;Archivio storico Comunale di Palermo, Consulte del Senato, 1284/40;Senato of Palermo;Unknown;1726-09-06;Palermo;;;Report about the measures adopted following the earthquake and request for the return of the viceroy to the city;Italian;;;;;;;;;;;
M-1726-PA-04E5;1726 Palermo Earthquake;Archivio storico Comunale di Palermo, Consulte del Senato, 1284/40;Senato of Palermo;Unknown;1726-09-06;Palermo;;;Consulta (written advice) about the suspension of musical and theatrical comedies;Italian;;;;;;;;;;;
M-1726-PA-04E6;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Niscemi;Fernández de Portocarrero y Mendoza, Francisco;1726-09-06;Palermo;1726-09-13;Messina;Letter about the maintenance of public order following the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04E7;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Niscemi;Fernández de Portocarrero y Mendoza, Francisco;1726-09-06;Palermo;1726-09-13;Messina;Report about the damage suffered by the city of Palermo due to the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04E8;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 2481;Fernández de Portocarrero y Mendoza, Francisco;Marquis de Rialp;1726-09-07;Messina;;Vienna;Detailed report about the damages and victims of the earthquake;Spanish;;;;;The report is anonymous, but most probably the viceroy is the author;;;;;;
M-1726-PA-04E9;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 2481;Fernández de Portocarrero y Mendoza, Francisco;Molina, Andrés de;1726-09-07;Messina;;Vienna;;Spanish;;;;;The report is anonymous, but most probably the viceroy is the author;;;;;;
M-1726-PA-04EA;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 2481;Fernández de Portocarrero y Mendoza, Francisco;Prince Eugenio di Savoia;1726-09-07;Messina;;Vienna;;Spanish;;;;;The report is anonymous, but most probably the viceroy is the author;;;;;;
M-1726-PA-04EB;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 2481;Fernández de Portocarrero y Mendoza, Francisco;von Althann, Michael Friedrich;1726-09-07;Messina;;Naples;;Spanish;;;;;The report is anonymous, but most probably the viceroy is the author;;;;;;
M-1726-PA-04EC;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 2481;Fernández de Portocarrero y Mendoza, Francisco;Cienfuegos Villazón, Juan Álvaro;1726-09-07;Messina;;Monreale;;Spanish;;;;;The report is anonymous, but most probably the viceroy is the author;;;;;;
M-1726-PA-04ED;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Resuttano;Fernández de Portocarrero y Mendoza, Francisco;1726-09-09;Palermo;;Messina;Letter about the dispute with the Tribunal of Royal Heritage after the dispatch issued by the latter against the Senate of the city;Italian;;;;;;;;;;;
M-1726-PA-04EE;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 2481;Tribunale del Real Patrimonio;Molina, Andrés de;1726-09-09;Palermo;;Vienna;Letter concerning the necessary measures to be taken in the city after the earthquake and request to withdraw the money necessary for emergency operations from the public treasury;Spanish;;;;;;;;;;;
M-1726-PA-04EF;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 1002,  ff. 227r-v;Fernández de Portocarrero y Mendoza, Francisco;Prince of Niscemi;1726-09-10;Messina;;Palermo;Dispatch about the suspension of theatrical comedies in the city;Spanish;;;;;;;;;;;
M-1726-PA-04F0;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Tribunale del Real Patrimonio;Fernández de Portocarrero y Mendoza, Francisco;1726-09-10;Palermo;1726-09-13;Messina;Letter containing the justification for the issue of dispatches against the work of the Senate of the city and communication of the opening of the Regia Zecca;Italian;;;;;;;;;;;
M-1726-PA-04F1;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Tribunale del Real Patrimonio;Fernández de Portocarrero y Mendoza, Francisco;1726-09-10;Palermo;1726-09-13;Messina;Letter with request to find the means necessary for the repair of the Royal Palace damaged after the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04F2;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Senato of Palermo;Fernández de Portocarrero y Mendoza, Francisco;1726-09-12;Palermo;1726-09-17;Messina;Letter about the dispute with the Tribunal of Royal Heritage and supplication for the cancellation of the dispatch from the registers;Italian;;;;;;;;;;;
M-1726-PA-04F3;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Resuttano;Fernández de Portocarrero y Mendoza, Francisco;1726-09-13;Palermo;1726-09-24;Messina;Letter about the dispute with the Tribunal of Royal Heritage in order to the management of the earthquake emergency;Italian;;;;;;;;;;;
M-1726-PA-04F4;1726 Palermo Earthquake;Archivio storico Comunale di Palermo, Consulte del Senato, 1284/40;Senato of Palermo;Unknown;1726-09-13;Palermo;;;Letter about to the dispute with the Tribunal of Royal Heritage;Italian;;;;;;;;;;;
M-1726-PA-04F5;1726 Palermo Earthquake;Archivio storico Comunale di Palermo, Consulte del Senato, 1284/40;Senato of Palermo;Unknown;1726-09-13;Palermo;;;Consulta (written advice) about the proposal to open the Monte di Pietà to find the necessary means to protect the city;Italian;;;;;;;;;;;
M-1726-PA-04F6;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Tribunale del Real Patrimonio;Fernández de Portocarrero y Mendoza, Francisco;1726-09-13;Palermo;;Messina;Request letter about the return to the city of Palermo hit by the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04F7;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 1002, ff. 236v-237v;Fernández de Portocarrero y Mendoza, Francisco;Cavallari, Francesco Maria;1726-09-15;Messina;;Palermo;Draft of thanks for the punctuality of the news and the measures adopted after the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04F8;1726 Palermo Earthquake;Archivio storico Comunale di Palermo, Consulte del Senato, 1284/40;Senato of Palermo;Fernández de Portocarrero y Mendoza, Francisco;1726-09-16;Palermo;;;Consulta (written advice) about finding the necessary means for the reconstruction of the city hit by the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04F9;1726 Palermo Earthquake;Archivio di Stato di Palermo, Tribunale del Real Patrimonio, Memoriali, 2417;Senato of Palermo;Tribunale del Real Patrimonio;1726-09-16;Palermo;;Palermo;Memorial in order to the impossibility to make available the public money for the reconstruction of the city;Italian;;;;;;;;;;;
M-1726-PA-04FA;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Niscemi;Fernández de Portocarrero y Mendoza, Francisco;1726-09-17;Palermo;1726-09-24;Messina;Letter concerning the suspension of the comedies in the Teatro di Santa Cecilia to appease the divine wrath after the earthquake and report about the provisions adopted on the surveillance of the city;Italian;;;;;;;;;;;
M-1726-PA-04FB;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Resuttano;Fernández de Portocarrero y Mendoza, Francisco;1726-09-17;Palermo;1726-09-24;Messina;Letter about the dispute with the Tribunal of Royal Heritage;Italian;;;;;;;;;;;
M-1726-PA-04FC;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Loredano, Giovan Tommaso;Fernández de Portocarrero y Mendoza, Francisco;1726-09-17;Palermo;1726-09-24;Messina;Request to transfer provisionally the headquarter of the Court of the Royal Court to the rooms of the Royal Vicariate because of the damage by the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04FD;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 730, f. 99r;Fernández de Portocarrero y Mendoza, Francisco;Tribunal del Real Patrimonio;1726-09-19;Messina;;Palermo;Dispatch with order to withdraw 100,000 scudi from the treasury of the city;Spanish;;;;;;;;;;;
M-1726-PA-04FE;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Senato of Palermo;Fernández de Portocarrero y Mendoza, Francisco;1726-09-20;Palermo;1726-09-27;Messina;Letter about the publication of a report on the work of the Senate of the city after the earthquake;Italian;;;;;;;;;;;
M-1726-PA-04FF;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 1002, ff. 243r-v;Fernández de Portocarrero y Mendoza, Francisco;Gasch, Giuseppe;1726-09-20;Messina;;Palermo;Draft of reassurance in connection with his return to the city as soon as possible;Spanish;;;;;;;;;;;
M-1726-PA-0500;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Niscemi;Fernández de Portocarrero y Mendoza, Francisco;1726-09-24;Palermo;1726-09-26;Messina;Letter about the provisions adopted in the city of Palermo for the maintenance of public order;Italian;;;;;;;;;;;
M-1726-PA-0501;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Tribunal del Real Patrimonio;Fernández de Portocarrero y Mendoza, Francisco;1726-09-24;Palermo;1726-10-01;Messina;Letter containing repeated request for the necessary means for the shelter of the Royal Palace;Italian;;;;;;;;;;;
M-1726-PA-0502;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Del Giudice, Miguel;Fernández de Portocarrero y Mendoza, Francisco;1726-09-24;Palermo;1726-10-11;Messina;Request letter for the intercession toward the prince of Roccapalumba damaged by the earthquake;Italian;;;;;;;;;;;
M-1726-PA-0503;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 1002, ff. 251v- 252r;Fernández de Portocarrero y Mendoza, Francisco;Drago, Casimiro;1726-09-24;Messina;;Palermo;Dispatch about the custody and supervision of prisons;Spanish;;;;;;;;;;;
M-1726-PA-0504;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Resuttano;Fernández de Portocarrero y Mendoza, Francisco;1726-09-25;Palermo;1726-10-10;Messina;Letter about the dispute with the Tribunal of Royal Heritage and communication of the Senate's intervention following the earthquake;Italian;;;;;;;;;;;
M-1726-PA-0505;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Prince of Roccapalumba;Fernández de Portocarrero y Mendoza, Francisco;1726-09-27;Palermo;1726-10-18;Messina;Petition to grant relief for the damage occurred to his home following the earthquake;Italian;;;;;;;;;;;
M-1726-PA-0506;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Senato of Palermo;Fernández de Portocarrero y Mendoza, Francisco;1726-09-27;Palermo;1726-10-04;Messina;Letter about the dispute with the Real Estate Tribunal and justification of his actions;Italian;;;;;;;;;;;
M-1726-PA-0507;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 183;Deputation of the Hospital;Fernández de Portocarrero y Mendoza, Francisco;1726-09-27;Palermo;1726-10-04;Messina;Petition to grant the necessary funds to cover the damage occurred as a result of the earthquake;Italian;;;;;;;;;;;
M-1726-PA-0508;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 182;Drago, Casimiro;Fernández de Portocarrero y Mendoza, Francisco;1726-10-01;Palermo;;Messina;Letter about the provisions adopted and request for repair actions for the prisons damaged following the earthquake;Italian;;;;;;;;;;;
M-1726-PA-0509;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 182;Prince of Resuttano;Fernández de Portocarrero y Mendoza, Francisco;1726-10-01;Palermo;;Messina;Letter about the king's celebrations despite the mourning state of the city following the earthquake;Italian;;;;;;;;;;;
M-1726-PA-050A;1726 Palermo Earthquake;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 1002, ff. 261r- 262r;Fernández de Portocarrero y Mendoza, Francisco;Drago, Casimiro;1726-10-01;Messina;;Palermo;Letter about the confirmation to continue to hold provisionally the conferences of the Court in his own home;Spanish;;;;;;;;;;;
M-1730-SA-050B;1730 Santiago Earhquake;Archivum Romanum Societatis Iesu, Provincia Chilensis, vol. 5, ff. 304r-313v;Unknown;Unknown;;;;;Relación del lastimoso y horrible estrago de la ciu[da]d de la Concep[ci]ón del reino de Chile, causado del temblor e inundación del mar que la anegó el día 8 de julio de 1730'. An anonimous and undated narration about the damages of the earthquake of 1730';Spanish;;;;;;;;;;;
